alpha,beta,mach,Cl_p [1/rad]
0.026179938779914945,-0.03490658503988659,0.5,-30.6423
0.026179938779914945,-0.026179938779914945,0.5,-30.2672
0.026179938779914945,-0.017453292519943295,0.5,-29.9986
0.026179938779914945,-0.008726646259971648,0.5,-29.8368
0.026179938779914945,0.0,0.5,-29.781
0.026179938779914945,0.008726646259971648,0.5,-29.8376
0.026179938779914945,0.017453292519943295,0.5,-29.9996
0.026179938779914945,0.026179938779914945,0.5,-30.2672
0.026179938779914945,0.03490658503988659,0.5,-30.6408
0.03490658503988659,-0.03490658503988659,0.5,-30.8702
0.03490658503988659,-0.026179938779914945,0.5,-30.6408
0.03490658503988659,-0.017453292519943295,0.5,-30.4488
0.03490658503988659,-0.008726646259971648,0.5,-30.3312
0.03490658503988659,0.0,0.5,-30.2912
0.03490658503988659,0.008726646259971648,0.5,-30.3328
0.03490658503988659,0.017453292519943295,0.5,-30.4509
0.03490658503988659,0.026179938779914945,0.5,-30.6423
0.03490658503988659,0.03490658503988659,0.5,-30.8702
-0.03490658503988659,-0.03490658503988659,0.6,-31.4157
-0.03490658503988659,-0.026179938779914945,0.6,-31.2015
-0.03490658503988659,-0.017453292519943295,0.6,-31.0068
-0.03490658503988659,-0.008726646259971648,0.6,-30.8848
-0.03490658503988659,0.0,0.6,-30.8415
-0.03490658503988659,0.008726646259971648,0.6,-30.8832
-0.03490658503988659,0.017453292519943295,0.6,-31.0046
-0.03490658503988659,0.026179938779914945,0.6,-31.1996
-0.03490658503988659,0.03490658503988659,0.6,-31.4157
-0.026179938779914945,-0.03490658503988659,0.6,-31.1996
-0.026179938779914945,-0.026179938779914945,0.6,-30.821
-0.026179938779914945,-0.017453292519943295,0.6,-30.5465
-0.026179938779914945,-0.008726646259971648,0.6,-30.3786
-0.026179938779914945,0.0,0.6,-30.3203
